ISSN;JournalName;Publisher;Publisher Country;Beall List;DevelopedAuthors;SJR;Results;Kvadrant;WoS;Average WoS IF;DOAJ;ScopusDiscontinued
1313-6569;Contemporary Engineering Sciences;Hikari Ltd.;Bulgaria;from publishers;7,339%;0,24;403;III.;FALSE;NA;not in DOAJ;FALSE
1810-8601;Corporate Board: Role, Duties and Composition;Virtus Interpress;Ukraine;from publishers;24,419%;0,13;79;III.;FALSE;NA;not in DOAJ;FALSE
1727-9232;Corporate Ownership & Control;Virtus Interpress;Ukraine;from publishers;31,933%;0,135;711;III.;FALSE;NA;not in DOAJ;FALSE
0975-413X;Der Pharma Chemica;Scholars Research Library;India;from publishers;2,051%;0,206;1106;III.;FALSE;NA;not in DOAJ;FALSE
0975-5071;Der Pharmacia Lettre;Scholars Research Library;India;from publishers;1,817%;0,19;1100;III.;FALSE;NA;not in DOAJ;FALSE
1089-3032;Electronic Journal of Geotechnical Engineering;Electronic Journal of Geotechnical Engineering;United States;from standalone journals;3,720%;0,205;2179;III.;FALSE;NA;not in DOAJ;FALSE
1916-4742;English Language Teaching;Canadian Center of Science and Education;Canada;from publishers;7,636%;0,253;517;III.;FALSE;NA;not in DOAJ;TRUE
1841-0464;European Journal of Science and Theology;Editura EcoZone;Romania;from standalone journals;5,613%;0,197;464;III.;TRUE;42,241;not in DOAJ;FALSE
1663-4365;Frontiers in Aging Neuroscience;Frontiers Research Foundation;Switzerland;from publishers;64,946%;1,808;623;I.;TRUE;82,767;with green tick;FALSE
1662-5153;Frontiers in Behavioral Neuroscience;Frontiers Research Foundation;Switzerland;from publishers;71,810%;1,803;976;I.;TRUE;77,323;with green tick;FALSE
1945-0508;Frontiers in Bioscience (Elite Edition);Frontiers in Bioscience;United States;from publishers;52,018%;0,9;179;IV.;FALSE;NA;not in DOAJ;FALSE
1945-0524;Frontiers in Bioscience (Scholar Edition);Frontiers in Bioscience;United States;from publishers;62,609%;1,035;91;I.;FALSE;NA;not in DOAJ;FALSE
2235-2988;Frontiers in Cellular and Infection Microbiology;Frontiers Research Foundation;Switzerland;from publishers;63,099%;2,748;276;I.;TRUE;83,118;with green tick;FALSE
1662-5102;Frontiers in Cellular Neuroscience;Frontiers Research Foundation;Switzerland;from publishers;65,548%;2,219;1145;I.;TRUE;79,883;with green tick;FALSE
1662-5188;Frontiers in Computational Neuroscience;Frontiers Research Foundation;Switzerland;from publishers;74,255%;1,355;484;I.;TRUE;68,318;with green tick;FALSE
1664-2392;Frontiers in Endocrinology;Frontiers Research Foundation;Switzerland;from publishers;73,841%;1,824;471;I.;TRUE;NA;with green tick;FALSE
1664-8021;Frontiers in Genetics;Frontiers Research Foundation;Switzerland;from publishers;73,005%;1,979;937;I.;TRUE;NA;with green tick;FALSE
1662-5161;Frontiers in Human Neuroscience;Frontiers Research Foundation;Switzerland;from publishers;78,839%;1,841;2472;I.;TRUE;76,177;with green tick;FALSE
1664-3224;Frontiers in Immunology;Frontiers Research Foundation;Switzerland;from publishers;78,491%;2,81;1396;I.;TRUE;83,775;with green tick;FALSE
1662-5145;Frontiers in Integrative Neuroscience;Frontiers Research Foundation;Switzerland;from publishers;80,124%;1,894;248;I.;TRUE;NA;with green tick;FALSE
1664-302X;Frontiers in Microbiology;Frontiers Research Foundation;Switzerland;from publishers;64,495%;1,97;2416;I.;TRUE;81,707;with green tick;FALSE
1662-5099;Frontiers in Molecular Neuroscience;Frontiers Research Foundation;Switzerland;from publishers;80,456%;2,243;227;I.;TRUE;86,523;with green tick;FALSE
1662-5110;Frontiers in Neural Circuits;Frontiers Research Foundation;Switzerland;from publishers;65,147%;1,992;578;I.;TRUE;72,852;with green tick;FALSE
1662-5129;Frontiers in Neuroanatomy;Frontiers Research Foundation;Switzerland;from publishers;65,469%;1,741;342;I.;TRUE;78,167;with green tick;FALSE
1662-6443;Frontiers in Neuroengineering;Frontiers Research Foundation;Switzerland;from publishers;83,721%;1,158;61;I.;FALSE;NA;with green tick;FALSE
1662-5196;Frontiers in Neuroinformatics;Frontiers Research Foundation;Switzerland;from publishers;84,836%;1,885;148;I.;TRUE;74,289;with green tick;FALSE
1664-2295;Frontiers in Neurology;Frontiers Research Foundation;Switzerland;from publishers;76,973%;1,257;659;I.;TRUE;65,865;with green tick;FALSE
1662-5218;Frontiers in Neurorobotics;Frontiers Research Foundation;Switzerland;from publishers;81,609%;1,052;58;I.;TRUE;50,523;with green tick;FALSE
1662-453X;Frontiers in Neuroscience;Frontiers Research Foundation;Switzerland;from publishers;81,581%;2,005;1084;I.;TRUE;65,82;with green tick;FALSE
2234-943X;Frontiers in Oncology;Frontiers Research Foundation;Switzerland;from publishers;77,897%;2,133;810;I.;TRUE;NA;with green tick;FALSE
1663-9812;Frontiers in Pharmacology;Frontiers Research Foundation;Switzerland;from publishers;69,213%;1,845;599;I.;TRUE;87,255;with green tick;FALSE
1664-042X;Frontiers in Physiology;Frontiers Research Foundation;Switzerland;from publishers;74,917%;1,84;1107;I.;TRUE;83,735;with green tick;FALSE
1664-462X;Frontiers in Plant Science;Frontiers Research Foundation;Switzerland;from publishers;59,086%;2,067;2405;I.;TRUE;93,062;with green tick;FALSE
1664-0640;Frontiers in Psychiatry;Frontiers Research Foundation;Switzerland;from publishers;77,188%;1,919;459;I.;TRUE;NA;with green tick;FALSE
1664-1078;Frontiers in Psychology;Frontiers Research Foundation;Switzerland;from publishers;80,199%;1,244;3095;I.;TRUE;77,907;with green tick;FALSE
1663-3563;Frontiers in Synaptic Neuroscience;Frontiers Research Foundation;Switzerland;from publishers;87,692%;1,7;48;I.;FALSE;NA;with green tick;FALSE
1662-5137;Frontiers in Systems Neuroscience;Frontiers Research Foundation;Switzerland;from publishers;83,117%;1,993;500;I.;TRUE;NA;with green tick;FALSE
1947-6019;Genes & Cancer;Impact Journals LLC;United States;from publishers;79,070%;2,15;130;I.;FALSE;NA;not in DOAJ;FALSE
1916-9736;Global Journal of Health Science;Canadian Center of Science and Education;Canada;from publishers;0,000%;0,369;622;III.;FALSE;NA;not in DOAJ;FALSE
0973-1768;Global Journal of Pure and Applied Mathematics;Research India Publications;India;from publishers;4,946%;0,157;619;III.;FALSE;NA;not in DOAJ;FALSE
1992-6197;Global Veterinaria;International Digital Organization for Scientific Information;United Arab Emirates;from publishers;1,183%;0,148;321;III.;FALSE;NA;not in DOAJ;TRUE
0974-6846;Indian Journal of Science and Technology;Indian Society for Education and Environment;India;from publishers;1,227%;0,273;2255;III.;FALSE;NA;not in DOAJ;FALSE
1343-4500;Information;International Information Institute;Japan;from publishers;11,341%;0,221;2073;III.;TRUE;21,667;not in DOAJ;FALSE
1337-6853;Interdisciplinary Toxicology;Slovenska Akademia Vied * Ustav Experimentalnej Biologie Farmakologie a Toxicologie;Slovakia;from standalone journals;12,150%;0,518;93;III.;FALSE;NA;not in DOAJ;FALSE
1532-5822;International Academy for Case Studies. Journal;Allied Academies;United States;from publishers;84,252%;0,101;246;IV.;FALSE;NA;not in DOAJ;FALSE
1993-5250;International Business Management;Medwell Journals;Pakistan;from publishers;2,222%;0,129;336;III.;FALSE;NA;not in DOAJ;FALSE
1913-9020;International Education Studies;Canadian Center of Science and Education;Canada;from publishers;11,331%;0,2;512;III.;FALSE;NA;not in DOAJ;TRUE
1729-8806;International Journal of Advanced Robotic Systems;InTech Open Access Publisher;Croatia;from publishers;25,641%;0,402;717;III.;TRUE;26;normal;FALSE
1816-4897;International Journal of Agricultural Research;Academic Journals, Inc.;United States;from publishers;4,286%;0,183;63;III.;FALSE;NA;not in DOAJ;FALSE
1560-8530;International Journal of Agriculture and Biology;Friends Science Publishers;Pakistan;from publishers;10,793%;0,423;600;III.;TRUE;57,018;not in DOAJ;FALSE
0973-1792;International Journal of Applied Chemistry;Research India Publications;India;from publishers;7,619%;0,118;93;III.;FALSE;NA;not in DOAJ;FALSE
0973-4562;International Journal of Applied Engineering Research (New Delhi);Research India Publications;India;from publishers;0,649%;0,13;10448;III.;FALSE;NA;not in DOAJ;FALSE
0973-6077;International Journal of Applied Environmental Sciences;Research India Publications;India;from publishers;1,365%;0,102;287;III.;FALSE;NA;not in DOAJ;TRUE
1940-6223;International Journal of Applied Research in Natural Products;Healthy Synergies Publications;United States;from standalone journals;17,333%;0,184;55;III.;FALSE;NA;normal;FALSE
1819-155X;International Journal of Biological Chemistry;Academic Journals, Inc.;United States;from publishers;3,636%;0,167;44;III.;FALSE;NA;not in DOAJ;FALSE
1550-9702;International Journal of Biomedical Science;Master Publishing Group;United States;from standalone journals;21,429%;0,364;106;III.;FALSE;NA;not in DOAJ;FALSE
2233-7849;International Journal of Bio-Science and Bio-Technology;Science and Engineering Research Support Society;Korea, Republic of;from publishers;3,256%;0,242;405;III.;FALSE;NA;not in DOAJ;FALSE
1555-1296;International Journal of Business Research (Turlock);International  Academy of Business and Economics;United States;from publishers;50,000%;0,162;153;IV.;FALSE;NA;not in DOAJ;FALSE
1811-9727;International Journal of Cancer Research;Academic Journals, Inc.;United States;from publishers;17,500%;0,123;35;III.;FALSE;NA;not in DOAJ;FALSE
0972-768X;International Journal of Chemical Sciences;Sadguru Publications;India;from publishers;1,316%;0,146;492;III.;FALSE;NA;normal;FALSE
1940-5901;International Journal of Clinical and Experimental Medicine;E-Century Publishing Corporation;United States;from publishers;4,227%;0,368;3879;III.;TRUE;18,145;not in DOAJ;FALSE
1936-2625;International Journal of Clinical and Experimental Pathology;E-Century Publishing Corporation;United States;from publishers;17,450%;0,617;2499;III.;TRUE;30,005;not in DOAJ;FALSE
2076-0930;International Journal of Communication Networks and Information Security;Kohat University of Science and Technology, Institute of Information Technology;Pakistan;from standalone journals;11,392%;0,418;67;III.;FALSE;NA;not in DOAJ;FALSE
2005-4297;International Journal of Control and Automation;Science and Engineering Research Support Society;Korea, Republic of;from publishers;3,404%;0,184;1156;III.;FALSE;NA;not in DOAJ;FALSE
1811-9743;International Journal of Dairy Science;Academic Journals, Inc.;United States;from publishers;7,407%;0,186;49;III.;FALSE;NA;not in DOAJ;FALSE
2146-4138;International Journal of Economics and Financial Issues;Econjournals;Turkey;from publishers;8,547%;0,194;416;III.;FALSE;NA;normal;FALSE
1452-3981;International Journal of Electrochemical Science;Electrochemical Science Group;Serbia;from standalone journals;7,778%;0,51;2552;III.;TRUE;27,78;not in DOAJ;FALSE
2146-4553;International Journal of Energy Economics and Policy;Econjournals;Turkey;from publishers;21,505%;0,336;241;III.;FALSE;NA;normal;FALSE
0975-4024;International Journal of Engineering and Technology;Engg Journals Publications;India;from publishers;1,346%;0,177;1151;III.;FALSE;NA;normal;FALSE
1847-9790;International Journal of Engineering Business Management;InTech Open Access Publisher;Croatia;from publishers;13,043%;0,381;99;III.;TRUE;NA;normal;FALSE
1099-9264;International Journal of Entrepreneurship;Allied Academies;United States;from publishers;60,000%;0,167;31;IV.;FALSE;NA;not in DOAJ;FALSE
2093-4009;International Journal of Information Processing and Management;Advanced Institute of Convergence Information Technology;Korea, Republic of;from publishers;5,970%;0,109;63;III.;FALSE;NA;not in DOAJ;TRUE
1312-8876;International Journal of Mathematical Analysis;Hikari Ltd.;Bulgaria;from publishers;5,274%;0,339;815;III.;FALSE;NA;not in DOAJ;FALSE
1998-0140;International Journal of Mathematical Models and Methods in Applied Sciences;North Atlantic University Union (N A U N);Greece;from publishers;10,409%;0,207;238;III.;FALSE;NA;not in DOAJ;FALSE
1948-1756;International Journal of Molecular Epidemiology and Genetics;E-Century Publishing Corporation;United States;from publishers;63,235%;0,707;52;IV.;TRUE;NA;not in DOAJ;FALSE
1975-0080;International Journal of Multimedia and Ubiquitous Engineering;Science and Engineering Research Support Society;Korea, Republic of;from publishers;3,071%;0,224;1129;III.;FALSE;NA;normal;FALSE
0975-6299;International Journal of Pharma and Bio Sciences;P. Muthuprasanna Pub. & Ed.;India;from standalone journals;0,476%;0,274;2868;III.;FALSE;NA;not in DOAJ;FALSE
0976-044X;International Journal of Pharmaceutical Sciences Review and Research;Global Research Online Publishing House;India;from publishers;1,551%;0,193;1779;III.;FALSE;NA;not in DOAJ;FALSE
0975-1491;International Journal of Pharmacy and Pharmaceutical Sciences;International Journal of Pharmacy and Pharmaceutical Sciences;India;from standalone journals;2,331%;0,282;3633;III.;FALSE;NA;normal;FALSE
0975-766X;International Journal of Pharmacy and Technology;B. Anil Reddy, Ed. & Pub.;India;from standalone journals;1,559%;0,135;436;III.;FALSE;NA;not in DOAJ;FALSE
1944-8171;International Journal of Physiology, Pathophysiology and Pharmacology;E-Century Publishing Corporation;United States;from publishers;43,820%;0,77;68;IV.;FALSE;NA;not in DOAJ;FALSE
1738-9976;International Journal of Security and Its Applications;Science and Engineering Research Support Society;Korea, Republic of;from publishers;4,419%;0,21;790;III.;TRUE;NA;normal;FALSE
1975-4094;International Journal of Smart Home;Science and Engineering Research Support Society;Korea, Republic of;from publishers;4,235%;0,219;588;III.;FALSE;NA;normal;FALSE
1816-9503;International Journal of Soft Computing;Medwell Journals;Pakistan;from publishers;1,042%;0,132;187;III.;FALSE;NA;not in DOAJ;FALSE
1738-9984;International Journal of Software Engineering and Its Applications;Science and Engineering Research Support Society;Korea, Republic of;from publishers;4,096%;0,262;784;III.;FALSE;NA;normal;FALSE
1816-4978;International Journal of Soil Science;Academic Journals, Inc.;United States;from publishers;2,381%;0,119;38;III.;FALSE;NA;not in DOAJ;FALSE
1816-3319;International Journal of Tropical Medicine;Medwell Journals;Pakistan;from publishers;7,692%;0,109;35;III.;FALSE;NA;not in DOAJ;FALSE
1816-4900;International Journal of Virology;Academic Journals, Inc.;United States;from publishers;5,556%;0,145;45;III.;FALSE;NA;not in DOAJ;FALSE
1811-9778;International Journal of Zoological Research;Academic Journals, Inc.;United States;from publishers;2,564%;0,162;39;III.;FALSE;NA;normal;FALSE
2156-7573;Journal of Advanced Microscopy Research;American Scientific Publishers;United States;from publishers;12,209%;0,147;151;III.;FALSE;NA;not in DOAJ;FALSE
1927-7210;Journal of Analytical Oncology;Lifescience Global;Canada;from publishers;36,000%;0,113;86;IV.;FALSE;NA;not in DOAJ;FALSE
1680-5593;Journal of Animal and Veterinary Advances;Medwell Journals;Pakistan;from publishers;8,997%;0,16;507;III.;TRUE;24,825;not in DOAJ;FALSE
2231-3354;Journal of Applied Pharmaceutical Science;Medipoeia Publication;India;from standalone journals;4,034%;0,258;939;III.;FALSE;NA;not in DOAJ;FALSE
1648-3898;Journal of Baltic Science Education;Scientia Socialis;Lithuania;from publishers;4,848%;0,422;147;III.;TRUE;19,264;not in DOAJ;FALSE
1556-6560;Journal of Biobased Materials and Bioenergy;American Scientific Publishers;United States;from publishers;23,735%;0,231;214;III.;TRUE;16,121;not in DOAJ;FALSE
2157-9083;Journal of Biomaterials and Tissue Engineering;American Scientific Publishers;United States;from publishers;20,397%;0,47;307;III.;TRUE;7,143;not in DOAJ;FALSE
1550-7033;Journal of Biomedical Nanotechnology;American Scientific Publishers;United States;from publishers;27,500%;0,956;669;III.;TRUE;71,468;not in DOAJ;FALSE
1557-7910;Journal of Bionanoscience;American Scientific Publishers;United States;from publishers;12,132%;0,612;245;III.;FALSE;NA;not in DOAJ;FALSE
0975-7384;Journal of Chemical and Pharmaceutical Research;Journal of Chemical and Pharmaceutical Research;India;from standalone journals;2,107%;0,135;3010;III.;FALSE;NA;not in DOAJ;TRUE
0974-2115;Journal of Chemical and Pharmaceutical Sciences;Journal of Chemical and Pharmaceutical Sciences;India;from standalone journals;0,536%;0,123;735;III.;FALSE;NA;not in DOAJ;FALSE
1796-2021;Journal of Communications;Engineering and Technology Publishing;United States;from publishers;21,271%;0,17;361;III.;FALSE;NA;not in DOAJ;FALSE
1546-1955;Journal of Computational and Theoretical Nanoscience;American Scientific Publishers;United States;from publishers;7,394%;0,318;1717;III.;TRUE;47,049;not in DOAJ;FALSE
1549-3636;Journal of Computer Science;Science Publications;United States;from publishers;6,278%;0,292;614;III.;FALSE;NA;normal;FALSE
1796-203X;Journal of Computers;Academy Publisher;Finland;from standalone journals;9,414%;0,172;440;III.;TRUE;NA;not in DOAJ;TRUE
1533-3604;Journal of Economics and Economic Education Research;Allied Academies;United States;from publishers;86,364%;0,114;148;IV.;FALSE;NA;not in DOAJ;FALSE
1816-949X;Journal of Engineering & Applied Sciences (Faisalabad);Medwell Journals;Pakistan;from publishers;2,139%;0,246;178;III.;FALSE;NA;not in DOAJ;FALSE
1812-5670;Journal of Entomology;Academic Journals, Inc.;United States;from publishers;2,500%;0,256;72;III.;FALSE;NA;not in DOAJ;FALSE
1098-8394;Journal of Entrepreneurship Education;Allied Academies;United States;from publishers;87,671%;0,322;65;IV.;FALSE;NA;not in DOAJ;FALSE
1058-3912;Journal of Environmental Hydrology;International Association for Environmental Hydrology;United States;from standalone journals;17,778%;0,107;31;III.;FALSE;NA;normal;FALSE
1816-4927;Journal of Fisheries and Aquatic Science;Academic Journals, Inc.;United States;from publishers;4,023%;0,199;156;III.;FALSE;NA;not in DOAJ;FALSE
2078-0303;Journal of Language and Literature;Progress Press Inc.;Azerbaijan;from standalone journals;2,899%;0,195;336;III.;FALSE;NA;not in DOAJ;FALSE
1544-0036;Journal of Legal, Ethical and Regulatory Issues;Allied Academies;United States;from publishers;93,846%;0,212;61;IV.;FALSE;NA;not in DOAJ;FALSE
1546-1998;Journal of Low Power Electronics;American Scientific Publishers;United States;from publishers;41,463%;0,193;120;IV.;FALSE;NA;not in DOAJ;FALSE
1549-3644;Journal of Mathematics and Statistics;Science Publications;United States;from publishers;16,327%;0,169;86;III.;FALSE;NA;normal;FALSE
2156-7018;Journal of Medical Imaging and Health Informatics;American Scientific Publishers;United States;from publishers;17,408%;0,168;415;III.;TRUE;17,497;not in DOAJ;FALSE
1555-130X;Journal of Nanoelectronics and Optoelectronics;American Scientific Publishers;United States;from publishers;9,251%;0,205;368;III.;TRUE;14,844;not in DOAJ;FALSE
1533-4880;Journal of Nanoscience and Nanotechnology;American Scientific Publishers;United States;from publishers;13,385%;0,358;3965;III.;TRUE;35,829;not in DOAJ;FALSE
2092-8637;Journal of Next Generation Information Technology;Advanced Institute of Convergence Information Technology;Korea, Republic of;from publishers;13,333%;0,141;104;III.;FALSE;NA;not in DOAJ;TRUE
1544-0508;Journal of Organizational Culture, Communications and Conflict;Allied Academies;United States;from publishers;89,189%;0,228;72;IV.;FALSE;NA;not in DOAJ;FALSE
0975-1459;Journal of Pharmaceutical Sciences and Research;Pharmainfo Publications;India;from publishers;1,092%;0,169;443;III.;FALSE;NA;not in DOAJ;FALSE
2141-2502;Journal of Pharmacognosy and Phytotherapy;Academic Journals;Nigeria;from publishers;9,859%;0,231;65;III.;FALSE;NA;not in DOAJ;FALSE
1816-496X;Journal of Pharmacology and Toxicology;Academic Journals, Inc.;United States;from publishers;10,526%;0,159;32;III.;FALSE;NA;not in DOAJ;FALSE
2223-3806;Journal of Pharmacy and Nutrition Sciences;Lifescience Global;Canada;from publishers;22,826%;0,158;81;III.;FALSE;NA;not in DOAJ;FALSE
0974-6943;Journal of Pharmacy Research;JPR Solutions;India;from standalone journals;1,183%;0,253;313;III.;FALSE;NA;not in DOAJ;TRUE
0915-5287;Journal of Physical Therapy Science;I P E C Inc.;Japan;from standalone journals;19,946%;0,411;1719;III.;TRUE;5,469;not in DOAJ;FALSE
1816-4951;Journal of Plant Sciences;Academic Journals, Inc.;United States;from publishers;6,667%;0,18;41;III.;FALSE;NA;not in DOAJ;FALSE
1544-8053;Journal of Residuals Science & Technology;DEStech Publications, Inc.;United States;from publishers;18,947%;0,177;84;III.;TRUE;5;not in DOAJ;FALSE
1819-4311;Journal of Software Engineering;Academic Journals, Inc.;United States;from publishers;5,882%;0,102;141;III.;FALSE;NA;not in DOAJ;FALSE
1913-9063;Journal of Sustainable Development;Canadian Center of Science and Education;Canada;from publishers;17,429%;0,138;302;III.;FALSE;NA;not in DOAJ;TRUE
1992-8645;Journal of Theoretical and Applied Information Technology;Asian Research Publishing Network (A R P N);Pakistan;from standalone journals;1,616%;0,171;2963;III.;FALSE;NA;normal;FALSE
1752-8909;Journal of Uncertain Systems;World Academic Union (World Academic Press);United Kingdom;from publishers;34,862%;0,462;101;IV.;FALSE;NA;not in DOAJ;FALSE
2158-5849;Materials Express;American Scientific Publishers;United States;from publishers;16,525%;0,474;176;III.;TRUE;42,82;not in DOAJ;FALSE
1300-686X;Mathematical & Computational Applications;Association for Scientific Research;Turkey;from standalone journals;3,000%;0,187;93;III.;TRUE;NA;not in DOAJ;FALSE
2039-9340;Mediterranean Journal of Social Sciences;Mediterranean Center of Social and Educational Research;Italy;from publishers;2,366%;0,174;5143;III.;FALSE;NA;not in DOAJ;TRUE
1990-9233;Middle East Journal of Scientific Research;International Digital Organization for Scientific Information;United Arab Emirates;from publishers;1,481%;0,156;2425;III.;FALSE;NA;not in DOAJ;TRUE
1913-1844;Modern Applied Science;Canadian Center of Science and Education;Canada;from publishers;7,407%;0,178;365;III.;FALSE;NA;not in DOAJ;TRUE
1847-9804;Nanomaterials and Nanotechnology;InTech Open Access Publisher;Croatia;from publishers;37,963%;0,327;86;IV.;TRUE;27,956;normal;FALSE
1941-4900;Nanoscience and Nanotechnology Letters;American Scientific Publishers;United States;from publishers;14,127%;0,292;523;III.;TRUE;24,394;not in DOAJ;FALSE
1949-2553;OncoTarget;Impact Journals LLC;United States;from publishers;53,548%;2,294;4425;I.;TRUE;80,303;not in DOAJ;FALSE
1608-4217;OnLine Journal of Biological Sciences;Science Publications;United States;from publishers;12,500%;0,127;91;III.;FALSE;NA;normal;FALSE
0031-5125;Perceptual and Motor Skills;Ammons Scientific Ltd.;United States;from publishers;47,436%;0,299;454;IV.;TRUE;1,765;not in DOAJ;FALSE
0033-2941;Psychological Reports;Ammons Scientific Ltd.;United States;from publishers;53,606%;0,319;431;IV.;TRUE;12,791;not in DOAJ;FALSE
1815-932X;Research Journal of Applied Sciences;Medwell Journals;Pakistan;from publishers;0,522%;0,135;365;III.;FALSE;NA;not in DOAJ;FALSE
1819-1932;Research Journal of Business Management;Academic Journals, Inc.;United States;from publishers;1,299%;0,124;75;III.;FALSE;NA;not in DOAJ;FALSE
1819-3420;Research Journal of Environmental Toxicology;Academic Journals, Inc.;United States;from publishers;1,923%;0,161;46;III.;FALSE;NA;not in DOAJ;FALSE
1815-7432;Research Journal of Information Technology;Academic Journals, Inc.;United States;from publishers;1,053%;0,123;89;III.;FALSE;NA;not in DOAJ;FALSE
1815-9346;Research Journal of Medical Sciences;Medwell Journals;Pakistan;from publishers;4,878%;0,106;113;III.;FALSE;NA;not in DOAJ;FALSE
1819-3455;Research Journal of Medicinal Plant;Academic Journals, Inc.;United States;from publishers;2,970%;0,196;94;III.;FALSE;NA;not in DOAJ;FALSE
1816-4935;Research Journal of Microbiology;Academic Journals, Inc.;United States;from publishers;1,869%;0,179;98;III.;FALSE;NA;not in DOAJ;FALSE
